Resorts (532 Found),Avg User Rating,"Family /
Adults Only",Direct USD 2026,Direct CAD 2026,Value Ratio,AAA,Forbes,Hotel Class,Hyatt,Northstar,Deal Breakers?,Country,Area,Airport,Direct Flight,To / From Airport,Hotel Brand,Hotel Style,Amenities,Special Room Options,"Food, Beach, Party","Guaranteed
Connecting Rooms",Beds,"High
Rise",# of Rooms,Year Built,Year Renovated,Floors
The Fives Beach Hotel & Residences,87.3,Family,"$4,699.00","$6,556.77",1.55,4,,5,,8,,Mexico,Playa del Carmen,Cancun,TRUE,0h 39m,The Fives Hotels,"Family, Family Resort","Beach, Kids Club, Teen Club, Gym, Diving, Room Service, Swim Up Bar, Snorkelling, Watersports Equipment Rentals, Babysitting, Buffet, Tennis, Evening Entertainment, Nightclub, Spa, Wi-Fi Free","2 Bedroom Suites, Swim Up Rooms",,,1 King or 2 Double,FALSE,662,2008,2011,3
Bahia Principe Luxury Esmeralda All Inclusive,87.3,Family,"$4,908.82","$6,849.55",1.49,3,,5,,7,,Dominican Republic,Punta Cana,Punta Cana,TRUE,0h 27m,Bahia Principe,"Family Resort, Luxury","Beach, Kids Club, Teen Club, Gym, Tennis, Swim Up Bar, Spa, Diving, Adult Pool, Buffet, Evening Entertainment, Nightclub, Waterpark For Little Kids",Swim Up Rooms,,Yes,1 King or 2 Double,FALSE,570,2008,2023,3
The Club at Hacienda del Mar,87.3,Family,"$4,974.82","$6,941.64",1.47,NYR,,4,,7,,Mexico,Cabo San Lucas,Los Cabos,TRUE,0h 39m,,"Classic, Park View","Beach, Kids Club, Heated Pool, Gym, Golf Course, Room Service, Evening Entertainment, Spa, Babysitting, Yoga Classes, Swim Up Bar, Horseback Riding, Fishing",Villas,,,2 Queen,FALSE,137,1995,,4
Ocean El Faro,87.3,Family,"$5,159.70","$7,199.61",1.41,,,5,,NYR,,Dominican Republic,Uvero Alto,Punta Cana,TRUE,0h 34m,H10 Hotels,"Mid-Range, Trendy","Beach, Kids Club, Teen Club, Lazy River, Pool Slide, Water Feature, Gym, Archery, Casino, Tennis, Watersports Equipment Rentals, Evening Entertainment, Spa, Babysitting, Buffet, Swim Up Bar, Nightclub, Wi-Fi Free, Waterpark For Little Kids","Adults Only Rooms, Swim Up Rooms",Great Food,,1 King or 2 Double,FALSE,618,2018,,
Villa del Palmar Flamingos Beach Resort & Spa,87.3,Family,"$5,170.00","$7,213.99",1.41,3,,4,,7,,Mexico,Flamingos,Ordaz,TRUE,0h 21m,The Villa Group,"Modern, Family","Beach, Kids Club, Heated Pool, Gym, Evening Entertainment, Babysitting, Spa",2 Bedroom Suites,,,1 King or 2 Queen,TRUE,275,2004,,8
Dreams Vista Cancun Golf & Spa Resort,87.3,Family,"$5,187.00","$7,237.71",1.41,4,,5,C,8,,Mexico,Cancun,Cancun,TRUE,0h 30m,Hyatt,"Charming, City View","Beach, Kids Club, Teen Club, Arcade, Flowrider, Heated Pool, Kids Club for Under 4, Gym, Yoga Classes, Room Service, Diving, Golf Course, Windsurfing, Pets Allowed, Babysitting, Adult Pool, Buffet, Snorkelling, Watersports Equipment Rentals, Evening Entertainment, Nightclub, Spa, Restaurants Don't Require Reservations, Wi-Fi Free, Waterpark For Little Kids","2 Bedroom Suites, Plunge Pool Rooms",,Yes,2 Queen,TRUE,416,2019,,15
Grand Sirenis Riviera Maya Resort,87.3,Family,"$5,697.72","$7,950.34",1.28,4,,5,,7,,Mexico,Akumal,Tulum,TRUE,1h 11m,Sirenis Hotels,"Family, Family Resort","Beach, Kids Club, Lazy River, Gym, Diving, Swim Up Bar, Snorkelling, Buffet, Tennis, Waterpark For Little Kids","2 Bedroom Suites, Swim Up Rooms",,Yes,1 King or 2 Double,FALSE,946,2006,,3
Tamarijn Aruba All Inclusive,87.3,Family,"$6,401.50","$8,932.37",1.14,3,,3.5,,7,,Aruba,Oranjestad,Reina Beatrix,TRUE,0h 11m,,"Charming, Family Resort","Beach, Kids Club, Gym, Bicycles Available, Snorkelling, Windsurfing, Evening Entertainment, Buffet, Tennis, Spa",Beach Front Rooms,,Can't Book Two Rooms,1 King or 2 Queen,FALSE,97,1974,2020,2
Sandals Montego Bay (Couples only),87.3,Adults Only,"$6,869.00","$9,584.69",1.06,4,,4.5,,NYR,Couples Only,Jamaica,Montego Bay,Sangster,TRUE,0h 7m,Sandals Resorts International,"Value, Luxury","Beach, Room Service, Tennis, Evening Entertainment, Spa, Gym, Diving, Buffet, Swim Up Bar, Nightclub","Beach Front Rooms, Swim Up Rooms",,,1 King,FALSE,255,1981,2016,
Sea Breeze Beach House,87.3,Family,"$8,140.00","$11,358.19",0.90,3,,4,,6,,Barbados,Barbados,Grantley Adams,TRUE,0h 14m,,"Family Resort, Bay View","Beach, Kids Club, Teen Club, Gym, Babysitting, Adult Pool, Buffet, Evening Entertainment, Spa, Wi-Fi Free",2 Bedroom Suites,,,1 King and 1 Queen Sofa Bed or 2 Queen,FALSE,122,1985,2017,3
Grand Aston Cayo Paredón Beach Resort,87.0,Family,$997.50,"$1,391.87",7.02,,,4,,,Max 3 per Room,Cuba,Cayo Coco,Cayo Coco,TRUE,0h 26m,,"Ocean View, Mid-Range","Beach, Kids Club, Gym, Swim Up Bar, Tennis, Babysitting, Buffet, Evening Entertainment, Wi-Fi Free",,,,1 King or 2 Double,TRUE,635,2022,,5
Iberostar Origin Daiquiri,87.0,Family,"$1,320.43","$1,842.47",5.30,,,4,,,,Cuba,Cayo Guillermo,Cayo Coco,TRUE,0h 36m,IHG,"Mid-Range, Classic","Beach, Babysitting, Swim Up Bar, Horseback Riding, Tennis, Kids Club, Gym, Diving, Buffet, Snorkelling, Watersports Equipment Rentals, Evening Entertainment, Nightclub, Spa","Beach Front Rooms, 2 Bedroom Suites, Family Suite",,,1 King or 2 Single,FALSE,312,1998,2016,3
Sol Palmeras,87.0,Family,"$2,149.00","$2,998.62",3.26,,,4.5,,4,,Cuba,Varadero,Varadero,TRUE,0h 31m,,"Mid-Range, Family Resort","Beach, Kids Club, Babysitting, Buffet, Mini Golf, Tennis, Gym, Yoga Classes, Diving, Snorkelling, Evening Entertainment, Nightclub","2 Bedroom Suites, Family Suite",Great Beach,,1 King,FALSE,608,1990,2002,4
Iberostar Origin Tainos,87.0,Family,"$2,170.41","$3,028.49",3.23,,,4,,,,Cuba,Varadero,Varadero,TRUE,0h 35m,IHG,"Quiet, Family Resort","Beach, Kids Club, Gym, Tennis, Windsurfing, Fishing, Nightclub, Babysitting, Yoga Classes, Buffet, Evening Entertainment",,Great Beach,,1 King or 2 Single,FALSE,272,1999,2024,4
Vila Gale Cumbuco,87.0,Family,"$2,220.42","$3,098.27",3.15,,,,,4,,Brazil,Caucaia,Pinto Martins,FALSE,0h 54m,,"Family, Business","Gym, Swim Up Bar, Hiking, Evening Entertainment, Nightclub, Kids Club, Spa, Beach, Adult Pool, Buffet, Tennis, Babysitting, Wi-Fi Paid",Family Suite,,,2 Queen,FALSE,465,2010,2014,4
Pierre Mundo Imperial,87.0,Family,"$2,806.00","$3,915.37",2.49,,,4,,8,,Mexico,Acapulco,Alvarez,FALSE,0h 16m,,"Classic, Family","Beach, Kids Club, Gym, Golf Course, Buffet, Tennis, Pets Allowed, Room Service, Wi-Fi Free",,,,2 Double,FALSE,229,1957,2003,5
Iberostar Waves Dominicana,87.0,Family,"$3,287.84","$4,587.70",2.13,,,5,,6,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 25m,IHG,"Mid-Range, Bay View","Beach, Kids Club, Teen Club, Gym, Casino, Buffet, Golf Course, Evening Entertainment, Nightclub, Spa, Babysitting, Tennis, Waterpark For Little Kids",Family Suite,,Yes,1 King or 2 Double,FALSE,490,1997,2006,5
Breathless Riviera Cancun Resort & Spa,87.0,Adults Only,"$3,408.00","$4,755.37",2.05,4,,4.5,C,7,,Mexico,Caracol,Cancun,TRUE,0h 26m,Hyatt,"Trendy, Ocean View","Heated Pool, Gym, Buffet, Evening Entertainment, Swim Up Bar, Nightclub, Spa, Restaurants Don't Require Reservations, Beach, Wi-Fi Free","Swim Up Rooms, Beach Front Rooms",Great for Parties,,1 King or 2 Double,FALSE,362,2016,2020,4
"Delta Hotels by Marriott Riviera Nayarit, An All-Inclusive Resort",87.0,Family,"$3,500.00","$4,883.74",2.00,4,,5,,NYR,,Mexico,La Cruz de Huanacaxtle,Ordaz,TRUE,0h 37m,Marriott,"Romantic, Charming","Beach, Lazy River, Gym, Spa, Buffet, Pets Allowed, Kids Club, Adult Pool, Wi-Fi Free",,,,1 King or 2 Queen,TRUE,212,2021,,5
Grand Palladium Palace Resort Spa & Casino,87.0,Family,"$4,207.77","$5,871.33",1.66,3,,5,,7,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 27m,Wyndham Hotels,"Value, Quiet","Beach, Kids Club, Teen Club, Kids Club for Under 4, Gym, Casino, Swim Up Bar, Diving, Tennis, Evening Entertainment, Nightclub, Babysitting, Adult Pool, Buffet, Snorkelling, Fishing, Spa, Waterpark For Little Kids",,,,1 King or 2 Full,FALSE,366,1994,,3
Iberostar Selection Bávaro Suites,87.0,Family,"$4,234.07","$5,908.03",1.65,4,,5,,7,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 24m,IHG,"Green, Quiet","Beach, Kids Club, Gym, Diving, Yoga Classes, Buffet, Evening Entertainment, Pets Allowed, Babysitting, Swim Up Bar, Tennis, Nightclub, Spa, Waterpark For Little Kids",Family Suite,,Yes,1 King or 2 Double,FALSE,614,,2016,
Armony Marival Resort & Spa,87.0,Adults Only,"$4,319.00","$6,026.54",1.62,4,,5,,NYR,,Mexico,Punta de Mita,Ordaz,TRUE,0h 50m,,"Charming, Ocean View","Beach, Heated Pool, Gym, Yoga Classes, Buffet, Swim Up Bar, Hiking, Spa, Room Service, Snorkelling, Evening Entertainment, Wi-Fi Paid",Swim Up Rooms,,,1 King or 2 Double,FALSE,80,1998,2013,2
Vik Hotel Cayena Beach,87.0,Family,"$4,809.00","$6,710.26",1.46,,,5,,6,,Dominican Republic,Punta Cana,Punta Cana,TRUE,0h 27m,,"Charming, Mid-Range","Beach, Kids Club, Gym, Diving, Watersports Equipment Rentals, Spa, Babysitting, Buffet, Casino, Tennis, Windsurfing",,,,1 King or 2 Double,FALSE,47,2006,2008,3
Hard Rock Hotel Los Cabos,87.0,Family,"$5,081.04","$7,089.85",1.38,4,,4,,7,,Mexico,Cabo San Lucas,Los Cabos,TRUE,0h 26m,Legendary Vacation Club,"Business, Family","Beach, Kids Club, Teen Club, Heated Pool, Gym, Tennis, Room Service, Nightclub, Babysitting, Buffet, Swim Up Bar, Evening Entertainment, Pets Allowed, Spa, Wi-Fi Free, Waterpark For Big Kids","Swim Up Rooms, Family Suite, Plunge Pool Rooms",,,2 Queen,TRUE,639,2018,,
Hotel Riu Palace Aquarelle,87.0,Family,"$5,922.00","$8,263.29",1.18,,,5,,NYR,,Jamaica,Falmouth,Sangster,TRUE,0h 37m,Riu,"Business, Mid-Range","Beach, Gym, Diving, Adult Pool, Swim Up Bar, Snorkelling, Watersports Equipment Rentals, Kids Club, Buffet, Evening Entertainment, Spa, Wi-Fi Free, Waterpark For Big Kids","2 Bedroom Suites, Family Suite, Adults Only Rooms, Swim Up Rooms",,,1 King and 1 Sofa Bed,TRUE,753,2024,,
Iberostar Selection Riviera Cancun,87.0,Family,"$5,954.00","$8,307.94",1.18,,,4.5,,8,,Mexico,Puerto Morelos,Cancun,TRUE,0h 25m,IHG,"Bay View, Luxury","Beach, Kids Club, Gym, Diving, Buffet, Fishing, Spa, Babysitting, Adult Pool, Swim Up Bar, Evening Entertainment, Yoga Classes, Archery, Tennis, Wi-Fi Free, Waterpark For Little Kids","2 Bedroom Suites, Family Suite, Swim Up Rooms",,Yes,1 King or 2 Queen,FALSE,435,2025,,4
Divi Aruba,87.0,Family,"$7,101.50","$9,909.11",0.99,3,,3,,7,,Aruba,Aruba,Reina Beatrix,TRUE,0h 14m,,"Romantic, Quiet","Beach, Kids Club, Gym, Evening Entertainment, Buffet, Spa",2 Bedroom Suites,,Can't Book Two Rooms,1 King or 2 Queen,FALSE,265,1969,2019,2
Mango Bay Hotel,87.0,Family,"$15,130.45","$21,112.35",0.46,,,4,,6,,Barbados,Barbados,Grantley Adams,TRUE,0h 32m,,"Mid-Range, Family Resort","Beach, Gym, Buffet, Diving, Snorkelling, Spa, Babysitting, Room Service, Horseback Riding",,,,1 King or 2 Twin,FALSE,67,1993,2014,4
Hilton Cancun Mar Caribe All-Inclusive Resort,86.8,Family,"$5,866.91","$8,186.42",1.16,4,,4,,7,,Mexico,Cancun,Cancun,TRUE,0h 21m,Hilton,"Family, Green","Beach, Kids Club, Teen Club, Gym, Buffet, Swim Up Bar, Spa, Evening Entertainment, Pets Allowed, Wi-Fi Free",Beach Front Rooms,Great Food,,2 Queen,TRUE,540,1986,2021,5
Vila Galé Cabo,86.7,Family,"$2,220.54","$3,098.44",3.02,,,5,,6,,Brazil,Cabo de Santo Agostinho,Guararapes,FALSE,0h 46m,,"Quiet, Family","Gym, Bicycles Available, Buffet, Swim Up Bar, Tennis, Babysitting, Spa, Beach, Adult Pool, Hiking, Evening Entertainment, Nightclub, Kids Club, Wi-Fi Paid",Family Suite,,,2 Queen,FALSE,300,1997,2006,3
Fiesta Americana Cozumel All Inclusive,86.7,Family,"$3,064.67","$4,276.30",2.19,3,,4.5,,7,,Mexico,Cozumel,Cozumel,TRUE,0h 18m,Fiesta Americana Travelty,"Modern, Hidden Gem","Beach, Kids Club, Swim Up Bar, Gym, Buffet, Spa, Diving, Snorkelling, Evening Entertainment, Wi-Fi Free","2 Bedroom Suites, Family Suite, Plunge Pool Rooms",,,1 King or 2 Double,FALSE,102,,2014,7
Coco Palm,86.7,Family,"$3,123.54","$4,358.45",2.15,,,3,,8,,Saint Lucia,Rodney Bay,George F. L. Charles,FALSE,0h 15m,,"Family, Modern","Gym, Diving, Room Service, Horseback Riding, Evening Entertainment, Buffet, Spa, Beach, Wi-Fi Free",Swim Up Rooms,,,1 King or 2 Double,FALSE,83,2003,2014,4
Oceana Resort + Conventions (Non Refundable),86.7,Family,"$3,290.00","$4,590.72",2.04,,,,,NYR,Non Refundable,Guatemala,Iztapa,La Aurora,FALSE,2h 48m,,"Business, Romantic","Gym, Mini Golf, Swim Up Bar, Babysitting, Beach, Buffet, Evening Entertainment, Kids Club, Spa, Wi-Fi Free",,,,2 Double,FALSE,192,2019,,5
Sheraton Buganvilias Resort & Convention Center,86.7,Family,"$3,500.00","$4,883.74",1.91,4,,4,,7,Max 3 per Room,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 16m,Sheraton,"Value, Business","Beach, Kids Club, Heated Pool, Gym, Buffet, Tennis, Babysitting, Room Service, Swim Up Bar, Horseback Riding, Spa, Pets Allowed, Wi-Fi Paid",,,,1 King or 2 Double,TRUE,473,1979,2017,13
Marina Fiesta Resort & Spa (Non Refundable),86.7,Family,"$3,884.76","$5,420.62",1.72,3,,4,,6,Non Refundable,Mexico,Cabo San Lucas,Los Cabos,TRUE,0h 40m,Mexico Grand Hotels,"Centrally Located, Harbour View","Kids Club, Heated Pool, Gym, Snorkelling, Fishing, Spa, Diving, Buffet, Swim Up Bar, Pets Allowed, Wi-Fi Paid, Waterpark For Little Kids",2 Bedroom Suites,,,1 Queen and 1 Sofa Bed or 1 King or 2 Queen,FALSE,155,1992,2010,7
Bahia Principe Grand Tulum,86.7,Family,"$4,172.56","$5,822.20",1.61,,,5,,7,,Mexico,Gran Bahia Principe,Tulum,TRUE,1h 4m,Bahia Principe,"Family, Mid-Range","Beach, Kids Club, Teen Club, Arcade, Gym, Casino, Buffet, Golf Course, Evening Entertainment, Nightclub, Spa, Babysitting, Swim Up Bar, Diving, Tennis, Waterpark For Little Kids",2 Bedroom Suites,,,1 King or 2 Full,FALSE,774,1999,2020,3
AVA Resort Cancun,86.7,Family,"$4,710.00","$6,572.12",1.42,,,,,NYR,,Mexico,Cancun,Cancun,TRUE,0h 15m,Legendary Vacation Club,"Luxury, Romantic","Kids Club, Teen Club, Beach, Water Feature, Buffet, Swim Up Bar, Arcade, Adult Pool, Spa, Gym, Nightclub, Waterpark For Little Kids",Family Suite,,Yes,2 Queen,TRUE,1743,2024,,
"W Punta Cana, Adult All-Inclusive",86.7,Adults Only,"$6,293.00","$8,780.97",1.06,,Coming Soon,5,,NYR,,Dominican Republic,Punta Cana,Punta Cana,TRUE,0h 48m,Marriott,"Luxury, Business","Gym, Swim Up Bar, Golf Course, Horseback Riding, Windsurfing, Fishing, Nightclub, Beach, Yoga Classes, Room Service, Diving, Hiking, Snorkelling, Evening Entertainment, Spa, Wi-Fi Free","Swim Up Rooms, Plunge Pool Rooms, 2 Bedroom Suites, Over Water Rooms",,,1 King or 2 King,FALSE,340,2025,,
Villas HM Palapas del Mar,86.7,Family,"$6,314.27","$8,810.65",1.06,,,4,,NYR,,Mexico,Holbox Island,Cancun,TRUE,,,"Trendy, Mid-Range","Beach, Bicycles Available, Diving, Buffet, Swim Up Bar, Snorkelling","Plunge Pool Rooms, Beach Front Rooms",,,1 King or 2 Double,FALSE,52,2001,2009,2
Sandals Regency La Toc (Couples only),86.7,Adults Only,"$6,552.00","$9,142.37",1.02,4,,5,,NYR,Couples Only,Saint Lucia,Castries,George F. L. Charles,FALSE,0h 13m,Sandals Resorts International,"Romantic, Mountain View","Beach, Gym, Diving, Buffet, Snorkelling, Evening Entertainment, Nightclub, Spa, Swim Up Bar, Golf Course, Tennis","Plunge Pool Rooms, Villas",,,1 King,FALSE,331,1973,2013,
Playa Luxury Cayo Guillermo Hotel,86.5,Adults Only,"$1,890.00","$2,637.22",3.44,,,5,,NYR,,Cuba,Cayo Guillermo,Cayo Coco,TRUE,0h 42m,,"Luxury, Romantic","Gym, Yoga Classes, Buffet, Swim Up Bar, Hiking, Snorkelling, Watersports Equipment Rentals, Beach, Room Service, Diving, Horseback Riding, Tennis, Fishing, Spa, Wi-Fi Free","Villas, Over Water Rooms",,,1 King or 2 Twin,FALSE,245,2019,,3
Sol Rio de Luna y Mares,86.5,Family,"$1,946.00","$2,715.36",3.34,,,4,,NYR,,Cuba,Guardalavaca,Holguin,TRUE,1h 6m,Melia,"Quiet, Family","Beach, Kids Club, Gym, Diving, Buffet, Tennis, Fishing, Nightclub, Babysitting, Swim Up Bar, Snorkelling, Evening Entertainment, Spa",Family Suite,,,1 King,FALSE,464,1991,2012,3
Dreams Vallarta Bay Resort & Spa,86.5,Family,"$4,438.00","$6,192.59",1.46,4,,5,C,8,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 14m,Hyatt,"Trendy, Modern","Beach, Kids Club, Teen Club, Pool Slide, Water Feature, Heated Pool, Kids Club for Under 4, Gym, Diving, Buffet, Swim Up Bar, Tennis, Fishing, Nightclub, Babysitting, Adult Pool, Evening Entertainment, Spa, Restaurants Don't Require Reservations",Swim Up Rooms,,Can't Book Two Rooms,1 King or 2 Double,TRUE,327,2012,2018,15
Grand Palladium Select Costa Mujeres,86.5,Family,"$5,902.07","$8,235.48",1.10,4,,5,,NYR,,Mexico,Playa Mujeres,Cancun,TRUE,0h 43m,Wyndham Hotels,"Business, Quirky Hotels","Beach, Kids Club, Teen Club, Pool Slide, Water Feature, Kids Club for Under 4, Gym, Tennis, Spa, Babysitting, Buffet, Swim Up Bar, Evening Entertainment, Wi-Fi Free, Waterpark For Little Kids",Swim Up Rooms,,,1 King or 2 Double,FALSE,670,2018,,2
Dreams Riviera Cancun Resort & Spa,86.5,Family,"$5,957.00","$8,312.13",1.09,,,5,C,8,,Mexico,Puerto Morelos,Cancun,TRUE,0h 25m,Hyatt,"Family, Family Resort","Beach, Kids Club, Teen Club, Lazy River, Pool Slide, Water Feature, Heated Pool, Kids Club for Under 4, Gym, Diving, Room Service, Nightclub, Babysitting, Buffet, Swim Up Bar, Evening Entertainment, Spa, Restaurants Don't Require Reservations, Wi-Fi Free","Family Suite, Plunge Pool Rooms",,Yes,1 King or 2 Double,FALSE,486,2009,2019,5
Hard Rock Hotel Riviera Maya,86.5,Family,"$7,677.84","$10,713.31",0.85,4,,5,,7,,Mexico,Puerto Aventuras,Cancun,TRUE,1h 1m,Legendary Vacation Club,"Modern, Trendy","Beach, Kids Club, Lazy River, Arcade, Gym, Diving, Adult Pool, Room Service, Swim Up Bar, Tennis, Fishing, Babysitting, Buffet, Evening Entertainment, Nightclub, Spa, Wi-Fi Free, Waterpark For Little Kids, Waterpark For Big Kids","2 Bedroom Suites, Adults Only Rooms, Family Suite",,,1 King or 2 Double,FALSE,870,,2014,3
Club Med Les Boucaniers - Martinique,86.5,Family,"$8,880.60","$12,391.59",0.73,,,4,,6,,Martinique,Sainte-Anne,Lamentin,TRUE,0h 56m,Club Med,"Quiet, Family","Beach, Teen Club, Lazy River, Kids Club, Kids Club for Under 4, Gym, Tennis, Windsurfing, Nightclub, Yoga Classes, Buffet, Diving, Watersports Equipment Rentals, Evening Entertainment, Spa, Wi-Fi Paid",Family Suite,,,1 King and 2 Single,FALSE,139,1969,2023,4
Nickelodeon Hotels & Resorts Riviera Maya - Gourmet All Inclusive by Karisma,86.5,Family,"$9,050.00","$12,627.96",0.72,4,,5,,NYR,,Mexico,Playa Paraiso,Cancun,TRUE,0h 26m,Karisma Hotels,"Ocean View, Luxury","Kids Club, Lazy River, Gym, Adult Pool, Buffet, Evening Entertainment, Babysitting, Room Service, Snorkelling, Spa, Beach, Wi-Fi Free, Waterpark For Little Kids, Waterpark For Big Kids",Swim Up Rooms,,Can't Book Two Rooms,1 King and 1 Murphy Bed and 1 Double Sofa Bed,TRUE,280,2021,,
Barceló Karmina,86.3,Family,"$2,393.37","$3,339.60",2.63,,,5,,6,,Mexico,Manzanillo,Manzanillo,FALSE,0h 33m,Barcelo,"Family, Business","Beach, Kids Club, Pool Slide, Water Feature, Gym, Tennis, Buffet, Spa, Babysitting, Adult Pool, Room Service, Evening Entertainment, Nightclub",Plunge Pool Rooms,,,1 King and Sofa Bed or 2 Double,TRUE,324,1999,2006,7
"Decameron Isla Coral Guayabitos, Ramada All-Inclusive Resort",86.3,Family,"$2,445.78","$3,412.73",2.58,NYR,,3.5,,,,Mexico,Rincon de Guayabitos,Ordaz,TRUE,0h 57m,Wyndham Hotels,"Charming, Mid-Range","Beach, Buffet, Wi-Fi Free",,,,1 King or 2 Double,FALSE,146,2020,,6
"Decameron La Marina Guayabitos, Ramada All-inclusive Resort",86.3,Family,"$2,445.78","$3,412.73",2.58,,,3,,,,Mexico,Rincon de Guayabitos,Ordaz,TRUE,1h 3m,Wyndham Hotels,"Charming, Business","Beach, Buffet, Evening Entertainment, Wi-Fi Free",,,,1 King or 2 Double,TRUE,161,,2024,5
Punta Cana Princess,86.3,Adults Only,"$2,996.91","$4,181.75",2.10,,,5,,6,,Dominican Republic,Punta Cana,Punta Cana,TRUE,0h 28m,,"Mid-Range, Quiet","Beach, Gym, Diving, Buffet, Swim Up Bar, Tennis, Evening Entertainment, Spa, Wi-Fi Paid",,,,1 King or 2 Twin,FALSE,263,,2013,2
Barceló Maya Beach - All Inclusive,86.3,Family,"$3,434.13","$4,791.83",1.83,,,5,,7,,Mexico,Barcelo Maya,Cancun,TRUE,1h 2m,Barcelo,"Family, Trendy","Beach, Kids Club, Pool Slide, Water Feature, Gym, Adult Pool, Room Service, Swim Up Bar, Diving, Snorkelling, Evening Entertainment, Spa, Babysitting, Buffet, Mini Golf, Tennis, Nightclub, Wi-Fi Paid, Waterpark For Little Kids",Family Suite,,,1 King or 2 Double,FALSE,630,1999,2013,3
Bay Gardens Beach Resort,86.3,Family,"$3,724.00","$5,196.30",1.69,3,,4,,7,,Saint Lucia,Rodney Bay,George F. L. Charles,FALSE,0h 14m,,"Green, Quiet","Gym, Diving, Yoga Classes, Buffet, Water Feature, Evening Entertainment, Kids Club, Beach, Babysitting, Room Service, Snorkelling, Watersports Equipment Rentals, Spa, Wi-Fi Free","2 Bedroom Suites, Beach Front Rooms, Villas, Plunge Pool Rooms",,,2 Queen,FALSE,76,2006,,3
"The Westin Playa Vallarta, an All-Inclusive Resort",86.3,Family,"$3,936.00","$5,492.12",1.60,4,,4,,7,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 7m,Marriott,"Lagoon View, Marina View","Gym, Babysitting, Pets Allowed, Beach, Heated Pool, Buffet, Swim Up Bar, Kids Club, Spa","Swim Up Rooms, Plunge Pool Rooms",,,2 Double,TRUE,281,1992,2000,14
The Verandah Antigua,86.3,Adults Only,"$4,466.00","$6,231.66",1.41,,,4,,7,,Antigua,Saint Phillips,V.C. Bird,TRUE,0h 29m,,"Quiet, Family","Beach, Gym, Buffet, Mini Golf, Tennis, Evening Entertainment, Snorkelling, Watersports Equipment Rentals, Fishing, Spa",,,,1 King,FALSE,185,2007,2023,1
Villa Del Palmar Cancun Luxury Beach Resort & Spa,86.3,Family,"$4,680.00","$6,530.26",1.35,4,,4,,7,,Mexico,Punta Sam,Cancun,TRUE,0h 43m,The Villa Group,"Family, Mid-Range","Beach, Kids Club, Pool Slide, Water Feature, Heated Pool, Gym, Yoga Classes, Room Service, Diving, Adult Pool, Buffet, Snorkelling, Spa, Wi-Fi Paid","2 Bedroom Suites, Family Suite",,,1 King or 2 Queen,TRUE,415,2010,,9
Franklyn D Resort & Spa,86.3,Family,"$4,949.00","$6,905.61",1.27,,,3,,7,,Jamaica,Runaway Bay,Sangster,TRUE,1h 9m,,"Family, Quiet","Beach, Kids Club, Pool Slide, Water Feature, Gym, Diving, Yoga Classes, Buffet, Snorkelling, Evening Entertainment, Babysitting, Mini Golf, Tennis, Fishing, Nightclub, Spa, Wi-Fi Free","2 Bedroom Suites, Beach Front Rooms",,,1 King and 2 Single,FALSE,78,1990,2013,2
Sensira Resort & Spa Riviera Maya,86.3,Family,"$6,534.79","$9,118.35",0.96,4,,5,,NYR,,Mexico,Puerto Morelos,Cancun,TRUE,0h 21m,Sensira Resorts,"Business, Ocean View","Beach, Kids Club, Teen Club, Pool Slide, Water Feature, Gym, Yoga Classes, Room Service, Tennis, Nightclub, Spa, Babysitting, Adult Pool, Buffet, Swim Up Bar, Mini Golf, Evening Entertainment, Wi-Fi Free, Waterpark For Little Kids",Family Suite,,,2 Queen,TRUE,359,2020,,7
Dreams Karibana Cartagena Golf & Spa Resort,86.3,Family,"$7,133.00","$9,953.07",0.88,,,5,B,NYR,,Colombia,Cartagena,Rafael Nunez,FALSE,0h 24m,Hyatt,"Charming, Ocean View","Beach, Kids Club, Kids Club for Under 4, Gym, Buffet, Evening Entertainment, Pets Allowed, Spa, Babysitting, Room Service, Golf Course, Restaurants Don't Require Reservations, Wi-Fi Free",Swim Up Rooms,,,1 King or 2 Queen,FALSE,268,2018,,6
Emporio Ixtapa,86.0,Family,"$1,588.00","$2,215.82",3.78,NYR,,4.5,,4,,Mexico,Ixtapa,Aeropuerto Internacional de Zihuatanejo,TRUE,0h 23m,Emporio Hotels & Resorts,"Family, Business","Beach, Heated Pool, Gym, Bicycles Available, Adult Pool, Buffet, Tennis, Babysitting, Kids Club, Spa, Swim Up Bar, Evening Entertainment, Waterpark For Little Kids",,,,2 Double,TRUE,219,1978,2005,11
Star Palace Beach Hotel,86.0,Family,"$1,761.00","$2,457.22",3.41,,,4,,,,Mexico,Mazatlan,Gen Rafael Buelna,FALSE,0h 33m,,"Quaint, City View","Gym, Swim Up Bar, Evening Entertainment, Wi-Fi Free, Beach, Nightclub",,,,2 Double,FALSE,255,,,
